contrato_id,dt_ref_portfolio,safra,nr_documento,status_contrato,dt_contrato,dt_desembolso,dt_vencimento,dt_wo,prazo,vlr_desembolsado,vlr_tarifa,juros_mes,juros_diario,perc_retencao,vlr_pgto_realizado,vlr_pgto_esperado,vlr_saldo_devedor,vlr_saldo_devedor_esperado,dsp,dspp,flag_transacao
da7879eca0868c3f8a1637eeceeddd72,2021-12-12,2021-05,db703ebd789ed223995eb699f4925156,Active,2021-05-03,2021-05-05,2022-08-03,2023-08-03,25.65,62586.0,0.0,0.04788,0.00157,0.14712,0.0,188.86,30407.63,23968.26,2,2,1
5c4f8f59797a52ca39c194f56d98b4d0,2021-12-01,2021-05,023c578d05c375308c4aeb77914d11c8,Active,2021-05-03,2021-05-05,2022-08-03,2023-08-03,25.65,8948.43,0.0,0.05988,0.00195,0.0642,22.52,28.37,5797.09,3330.21,0,0,1
d8d1aa637283302c7e1466617ada03b2,2022-01-17,2021-05,7c58be84cb84e161b80253814f1373f4,Active,2021-05-04,2021-05-07,2022-08-04,2023-08-04,25.65,9275.04,0.0,0.08388,0.00271,0.24,88.75,33.29,9804.95,1172.15,0,235,1
83b543e28464dd4474d881d2cebda17c,2021-05-25,2021-05,3e732b416aa408678f2ae33cbaafac28,Active,2021-05-03,2021-05-05,2022-11-03,2023-11-03,30.78,2258.91,0.0,0.04188,0.00137,0.072,0.0,5.66,2355.35,2214.76,20,20,1
fa69c64d90430548aaacdac56c3b9fb5,2021-12-31,2020-08,18bbb5abf1e44f4d321fc0262ec91df1,Active,2020-08-04,2020-08-06,2021-12-04,2022-12-04,27.36,27491.67,0.0,0.05988,0.00195,0.132,18.47,81.95,12623.43,0.0,0,95,1
9cd17de6813d9c6bd2fec2effc130875,2021-06-02,2021-06,d8ba4a445f8eb2ec2130b12520741d5b,Active,2021-05-27,2021-06-01,2022-08-27,2023-08-27,25.65,9841.05,0.0,0.04788,0.00157,0.084,25.82,29.39,10016.51,9970.74,0,1,1
1f03434259bf10d1fff7d2b47050eb66,2022-02-15,2021-05,fdb60e88083ee28aca8137060e68ea19,Active,2021-05-14,2021-05-17,2022-08-14,2023-08-14,25.65,21074.04,0.0,0.04788,0.00157,0.084,159.75,62.73,6703.7,4273.79,0,0,1
e0e3e57e0c1913f8794788865e10b4ac,2021-05-14,2020-11,df5d513df5ed2ca2ebf555d76aafa0f0,Settled,2020-10-30,2020-11-04,2022-01-30,2023-01-30,25.65,3698.73,0.0,0.05988,0.00195,0.36,0.0,11.56,0.0,2449.57,0,0,0
f7c4a3d40214e5b74ae5f8e74b5c79f4,2021-08-10,2021-03,8e4f664879d7b10db4b1b81d3fc100c5,Active,2021-03-23,2021-03-30,2022-06-23,2023-06-23,25.65,7339.32,0.0,0.04788,0.00157,0.11484,0.0,21.84,4720.61,4925.56,1,1,1
e136dabffa462b3dadbde3724fdd0fb6,2021-08-17,2021-02,38bc4ff5b91e49395a6244e819be8ec0,Active,2021-01-28,2021-02-01,2022-04-28,2023-04-28,25.65,18811.71,0.0,0.05988,0.00195,0.11676,79.38,59.57,9147.82,10186.73,0,0,1
acb78f0b73b5c7da06d54688a6ebd2a1,2021-08-17,2021-05,7c114c81ff44474954463156130ce7c3,Active,2021-05-14,2021-05-17,2022-08-14,2023-08-14,25.65,81426.78,0.0,0.05988,0.00195,0.12,164.6,258.52,70931.4,59049.53,0,8,1
b9da6004d2af69c30b2fab976b66b5c0,2021-05-24,2021-04,5b8e2370e7389895ccaf69b013ac17ee,Active,2021-04-24,2021-04-27,2022-07-24,2023-07-24,25.65,27360.0,0.0,0.05988,0.00195,0.18,74.52,86.39,26784.19,25958.34,0,11,0
